name,category,location,url,creation_date,employee_number,turnover,presentation
Dear Muesli,"E-commerce, Epicerie fine, Grande consommation",Paris,"
      
        
      
    www.dearmuesli.com",2015,10,27 ans,"DEAR MUESLI est la marque de céréales parisienne spécialisée dans le GRANOLA.Créée en Mars 2015, elle a pour mission de recréer l’excitation et l’envie ressenties lors de l’ouverture d’un paquet de céréales bio et gourmand pour la première fois.Les Muesli Boys, et leur équipes, travaillent ensemble chaque jour à la confection de recettes de muesli originales et personnalisées, ainsi qu'à l'élaboration d'une marque, qui incarne une harmonie entre la nutrition et le plaisir.Leurs candidats idéal sont : DynamiquesAiment les challengesAutonomesGoal - driven Au delà de ces qualités individuelles, ils recherchent de vrais team players, attirés par l'ambiance et l'environnement start-up !Si tu es un Muesli lover, tu y seras comblé ! "
Qwant ,Big Data,"Paris, Nice","
      
        
      
    www.qwant.com",2017,21,27 ans,"Qwant Research est la filiale R&D de Qwant le moteur de recherche européen qui respecte votre vie privée. Qwant Research a pour rôle de développer les futurs projets de Qwant.Chez Qwant Research nous recrutons des chercheurs et des ingénieurs. Le profil idéal aura une capacité certaine à déployer des solutions d'ingénierie efficace. Une attitude positive de ""coopétition"" entre les employé-es est appréciée ainsi que la prise d'initiatives.L'envie d'innover et de se dépasser sois-même en emmenant le groupe doit être une seconde nature et aborder des sujets complexes avec enthousiasme un leitmotiv.Aimer les jeux de plateau, de cartesAimer le caféNe pas se prendre au sérieuxApprécier un bon verreEtre un gourmet"
SALES LAB FRANCE,"Immobilier commercial, Organisation / Management, Publicité, Tourisme",Paris,"
      
        
      
    www.saleslab.fr",2012,12,25 ans,"Sales Lab France est une agence de Force de Vente Externalisée dont l'ambition est de devenir le premier Incubateur Commercial de France !Qu'il s'agisse de grands groupes comme Pierre&Vacances ou de start-up à taille humaine, Sales Lab France les aide dans leurs conquêtes de parts de marché.
Le but : accompagner des idées innovantes jusqu'en faire des succès commerciaux.Ils recherchent des profils dynamiques, motivés et ambitieux pour vivre pleinement les défis que posent l'expansion de Sales Lab France.En effet, ils croient fondamentalement que l'évolution de leur projet passe par l'évolution de chacun de ses collaborateurs !L'envie d'apprendre est indispensable pour s'imprégner au mieux de la SALES FACTORY et de la Culture d'entreprise.Et si vous aimez :Les p'ti dej' (le lundi)Les restos japonais (le mardi)Les after-work (le jeudi)Les parcs d'attractions (tout le temps) "
CodinGame,"Formation, Jeux vidéos, Logiciels",Montpellier,"
      
        
      
    www.codingame.com",2012,25,31 ans,"CodinGame est une plate-forme qui permet aux fans de code à travers le monde de perfectionner leurs compétences en programmation, gratuitement, à travers des jeux vidéo – oui, apprendre de nouveaux algos en chassant des fantômes phosphorescents, c’est possible !Une communauté de plus d’un million de développeurs passionnés, issus de tous parcours professionnels et de formations, utilise le site pour mettre en valeur ses compétences auprès d’entreprises à la recherche de nouveaux talents. Tout le monde est gagnant : les développeurs décrochent des jobs qui leur plaisent et les entreprises dénichent les meilleurs profils pour consolider leurs équipes. Comment ? Grâce à des tests techniques en ligne et via l’organisation de hackathons et contests de code addictifs et ludiques.CodinGame - Spread the Word that Coding is FunPour développer ses activités en France et à l’international, CodinGame recherche des personnes passionnées, douées pour tout un tas de choses (que ce soit au travail ou en dehors) et qui ne se ressemblent pas. Ici, on considère la diversité des équipes comme une richesse !Tu as un caractère aventurier, créatif, et collaboratif ? Tu te sentiras bien dans la CodinGame team 🙂 Au cœur de nos valeurs, on trouve la bienveillance et l'entraide - pour que chacun puisse s'épanouir dans son job au quotidien.Chez CodinGame, on travaille en équipes agiles et par projet : tu pourras à tout moment exprimer tes opinions, participer et diversifier tes compétences.Mais tu pourras aussi :Te délecter de café, thé, boissons froides et snacks gratuits à toutes heuresProfiter de pauses console, jeux de plateau et babyfootBénéficier d'un service de conciergerie d'entreprise pour t'alléger des petits tracas de la vie quotidienneParticiper à des Winter/Summer Retreats (ski, sports d'aventure, villa-piscine, plage, etc.)Te détendre lors de nombreux afterworks, soirées d'anniversaire et toute autre bonne occasion de faire la fête !Alors, prêt(e) à rejoindre l’aventure ?"
LUCILE WOODWARD SAS,"Santé, Sport",Boulogne-Billancourt,"
      
        
      
    shop.lucilewoodward.com",2017,7,,"Lucile Woodward, coach sportif, a développé une méthode de remise en forme durable, et respectueuse du corps. Son mantra : « Se faire du bien, sans se faire de mal !».Lancée en 2017, notre entreprise conçoit, produit et diffuse des programmes et des vidéos de remise en forme, basée sur cette méthode. Ces programmes innovants combinent des exercices de sport, des menus sains et équilibrés, mais aussi un état d’esprit positif. Plus de 25 000 femmes ont déjà suivi nos programmes avec succès ! 
Soutenue par une communauté de plus de 300 000 femmes sur les réseaux sociaux en France, la marque Lucile Woodward connaît déjà un succès grandissant.Notre ambition ? Devenir un acteur majeur de la remise en forme et du bien-être au quotidien. Pour que TOUTES les femmes puissent se sentir bien dans leur corps. Nous recherchons des collaborateurs/rices, prêt(e)s à relever des défis au quotidien et ayant envie de partager au plus grand nombre un mode de vie healthy et sportif ! Dynamisme, flexibilité, autonomie, esprit d’équipe et bonne humeur sont de rigueur! Un intérêt, (voire une passion !) pour les réseaux sociaux, les nouvelles technologies, la food, et/ou le sport est également conseillé ! Les petits « plus » qui font la différence pour rejoindre l’équipe : Aimer la « vraie » nourriture (pas de poudre de perlinpinpin ou de repas à boire chelou)Être partant(e) pour tester de nouvelles activités : aquafit, swimcross, power yoga, surf etc Savoir ce que « flexitarien » veut dire ;)Être un garçon (pour nous mettre enfin sur la voie de la parité)Ne pas confondre les «crêpes » et les « galettes » = critère décisif"
LiveMentor,"E-commerce, EdTech, Logiciels",Paris,"
      
        
      
    www.livementor.com",2012,20,27 ans,"LiveMentor est une école de nouvelle génération, en ligne, pour les entrepreneurs au sens large, ceux que l’on pourrait appeler les “entrepreneurs de leur vie”. Chaque mois, des porteurs de projets de tous horizons viennent y apprendre les compétences activables qui leur permettent d'accéder au style de vie qui leur correspond. Ils apprennent dans les classes virtuelles de LiveMentor les connaissances concrètes qui leur permettent de donner vie à leur projet entrepreneurial, associatif ou encore social. LiveMentor part de leur objectif, et utilise une expertise née de l’accompagnement de milliers d’entrepreneurs pour les orienter vers les compétences nécessaires pour s’en rapprocher. Parce que LiveMentor attache plus d’importance aux humains qu’aux diplômes, les parcours des membres de son équipe sont à l’image de ceux de ses élèves : riches et divers. Victor - 21 ans, jeune prodige ancien joueur de poker - y côtoie Baptiste, Science Po Paris et ancien prix du Concours Général de Physique.Et cela va de soi - n'est pas la première école d'entrepreneuriat de France qui veut. Nombreux sont ainsi les anciens entrepreneurs parmi leurs rangs. Des entrepreneurs en CDI ? Vous trouvez ça bizarre ? Pas du tout. Ils pensent au contraire que l'on se trompe de combat lorsque l'on oppose CDI vs. indépendant. Le vrai enjeu, c'est de comprendre les aspirations à plus d'autonomie et de flexibilité, et de créer le cadre de travail qui les rend possible.Une fantastique école dans l'école : accès illimité à nos formations et un budget annuel pour monter en compétences et grandir aussi vite que LiveMentor !Un programme d'excubation pour aller passer du temps dans d'autres start ups ou entreprisesLe monde pour bureau : le remote est autorisé (et vivement apprécié par le staff)Des horaires flexibles : LiveMentor ne recrute pas des talents pour leur dire quoi faire"
EASYTEAM,"IT / Digital, Stratégie, Transformation","La Garenne-Colombes, Lille, Lyon, Nantes","
      
        
      
    easyteam.fr",2005,110,,"EASYTEAM est une Entreprise de Services du Numérique, Experte de la Data et du Cloud. 
Elle apporte son expertise et sa méthodologie sur des sujets qui vont de la stratégie jusqu’aux Services Managés d’applications métiers et données clients critiques.Partenaire AWS, Microsoft et Oracle, elle accompagne ses clients sur toute la chaine de valeur au travers de ses offres de Conseil, Expertise & Projet, Infogérance, Software Asset Management et Formation.EASYTEAM, c’est plus de 110 collaborateurs répartis sur 5 agences : Paris, Lille, Nantes, Lyon, Toulouse, avec une ambition de croissance très forte : recruter 50 collaborateurs sur toute la France sur un an !Au-delà d’un bon niveau de formation, ce sont les aptitudes personnelles et le potentiel qui font la différence. 
EASYTEAM recherche avant tout des ingénieurs passionnés par les challenges technologiques, l’innovation et la création de solutions de valeur. 
La curiosité, la capacité à se remettre en question et à se former sont des atouts essentiels. Le collaborateur doit également s’inscrire dans la dynamique des valeurs de la société : Respect, Humilité, Engagement, Solidarité et Excellence.Partage et travail en équipe sont les clés du succès pour une réussite collective !L’esprit Easyteam, c’est : L’intégration et le suivi individualisé et personnalisé des consultants, notamment au travers de rencontres et d’échanges réguliersLe développement des compétences et de l’employabilité grâce à des parcours de formations et certifications mais aussi par le biais de participations à différents évènements (meetups, workshops, séminaires, etc.)La mise en place de communautés techniques pour échanger, capitaliser et évoluer ensemble (blog Arkzoyd, websem, réseau social interne, etc.)Un engagement social et environnemental fort : bâtiment HQE, flotte de véhicules électriques, corbeille de fruits bio à disposition des collaborateurs, etc. "
Feed,"E-commerce, FoodTech","Paris, Amsterdam, Autriche, Bordeaux / Toulouse, Brussel, Lille, Londres, Lyon, Marseille, Nantes","
      
        
      
    www.feed.co",2017,50,28 ans,"Feed. est une foodtech parisienne qui conçoit des repas complets, dans des formats adaptés aux personnes actives. Élaborées par une équipe de diététiciens-nutritionnistes, d’ingénieurs agroalimentaires et de chefs cuisiniers, les recettes contiennent des ingrédients naturels fournissant 100% des apports nécessaires d’un repas équilibré.Feed. se positionne aujourd’hui comme un des acteurs les plus innovants de la Smart Food Européenne. L’entreprise a réalisé 3 levées de fonds de plus de 18,5 millions d’euros avec des investisseurs de renom, pour accélérer son hyper-croissance : ventes online, grande distribution alimentaire et spécialisée, développement à l'international.Feed. recherche des profils déterminés qui aiment relever des défis au quotidien, repousser les limites, qui souhaitent rejoindre une équipe jeune et dynamique au sein d'une entreprise ambitieuse et innovante. Des qualités comme l'esprit d'équipe, la rigueur et le sérieux sont indispensables. L'ambiance chez Feed. c'est : partager un bon moment avec tes collègues lors du team building mensuelêtre un bon sniper pendant les guerres de nerfsprofiter des apéros sur le rooftop de l'immeuble avec vue sur Paris et des goûters tous les vendredisdéguster des produits Feed. à volonté !"
Ekimetrics,"Big Data, IT / Digital",Paris,"
      
        
      
    www.ekimetrics.com",2006,160,,"Ekimetrics est une société de conseil internationale, pionnière et référente en Data Science.
Data Native ET résolument humains. C’est notre ADN, notre différence. Ce qui nous rend unique.
C’est la raison pour laquelle tous nos consultants sont aussi Data Scientists.Nous amplifions l’humain grâce à la data et à la technologie. Nous décuplons la technologie et la data grâce à l’humain. Nous injectons de puissants outils dans toutes nos missions : algorithmes propriétaires, innovations statistiques, machine learning.
Nous mobilisons, chaque jour, à vos côtés, nos consultants, créatifs, curieux, atypiques, pour vous accompagner jusqu’à la mise en œuvreCrée en 2006, sommes rapidement devenus leaders sur notre marché en France puis en Europe et menons désormais des projets dans plus de 40 pays grâce à nos 5 bureaux à Paris, Londres, New York, Hong Kong et Dubaï.Ekimetrics est une société de conseil internationale, pionnière et référente en Data Science.
Tous nos consultants sont également des Data Scientist.
 Nous avons 3 équipes en interne :
-DOT (data opérations team) avec une spécialité BI et Big Data
-Regulars : des consultants qui travaillent sur des projets de MMM, CRM et ML
-La Manufacture : des développeurs des applications web
Nous recherchons aujourd’hui à renforcer nos 3 équipes mais également à grandir nos équipes transverses : RH, Finance, Marketing, etc.
 La culture d'entreprise est très forte à Eki : table de ping-pong, tournois de Mario Kart, séminaires, week-ends ski... et bien sûr apéro avec les collègues au bar du coin !
Entreprise jeune et dynamique : moyenne d’âge 28 ans
Perspectives d’évolution et de CDI après stageInteraction avec l’international : New York, Londres, Hong Kong, DubaïEnvironnement de travail bienveillant
Eki.ART : programme de mécénat interne
Eki.Academy : avec plus de 55 modules de formation interne
 "
YOOMAP,"Logiciels, Stratégie",Paris,"
      
        
      
    www.yoomap.fr",2013,32,31 ans,"YOOMAP est le leader français des logiciels de management de l'innovation. Que ce soit pour challenger son business model, trouver de nouvelles idées ou revoir ses méthodes de travail, une grande entreprise se doit de détecter les idées innovantes à peine émergent-elles. C'est pourquoi Yoomap édite 1 logiciel qui se décline en 3 produits principaux :SURMSMILes challenges online/innovathons« Notre métier : aider les entreprises à innover de manière moderne, c’est-à-dire ouverte et collaborative », expliquent les co-fondateurs de Yoomap : Richard Biquillon, Mathieu Lafaye et Samuel Nakache.Yoomap recherche des collaborateurs qui ont de l'intérêt pour le monde de l'innovation et un excellent relationnel. Le savoir être est primordial : Yoomap n'a pas peur de miser sur une personne qui déclenche un coup de coeur par sa motivation, son dynamisme et sa sociabilité. Chaque parcours est singulier et peut apporter sa pierre à l'édifice, c'est pourquoi yoomap n'a pas de prérequis sur le bagage. Bien évidemment, certaines compétences sont indispensables pour les postes à pourvoir.Un sens de l'humour est un plus pour bien s'intégrer à la team car à Yoomap ils travaillent dans la bonne humeur. Tu te sentiras comme un dauphin dans l'eau si tu aimes :Le ukulélé et les dauphinsLes apéros improvisésLes voyages culinaires récurrents Les soirées jeux (poker, jeux de sociétés)Les teambuildings Les cadeaux d'anniversaire atypiques...Bonus : Tu seras notre super dauphin si tu es un killer à Quake 3, au ping-pong, au mini babyfoot, ou aux echecs."
Very Up,"Big Data, Education, Formation","Lyon, Paris","
      
        
      
    www.veryup.com",2015,31,31 ans,"Very Up est un organisme de formation innovant qui réinvente la formation ! Créée par Nicolas en 2015, Very Up produit et déploie pour ses 200 clients (essentiellement des grands groupes internationaux) des parcours de formation sur-mesure, fun et consistants. Grâce à des méthodes et à des technologies en rupture, Very Up rapproche la formation du terrain et fait vivre aux salariés des expériences d'apprentissage uniques, collaboratives et efficientes.Chez Very Up et sa pépite digitale Teach Up, ils recherchent des collaborateurs exigeants, bienveillants, avec un fort sens du service, proactifs (au sens du dictionnaire : qui mettent l'énergie sur ce qui dépend d'eux sans jamais se plaindre ni des autres, ni de l'environnement), à la recherche de sens, capables de se remettre en question et qui aiment apprendre et être challengés.Ils sont essentiellement à la recherche de sales, de project managers, de consultants et de dev (back & front)...Pour être recruté(e), osez, soyez curieux(se), essayez d'être fun et consistant(e) dans nos échanges, soignez votre orthographe, évitez les ""cordialement"" dans vos mails mais surtout... soyez vous-même ! On a une culture d'entreprise très forte et pourtant, nous sommes tous très différents. Alors assumez vos différences !"
PerfectStay,"Hôtellerie, Tourisme",Paris,"
      
        
      
    www.perfectstay.com",2016,80,31 ans,"Laurent Curutchet, Raphael Zier, Stéphane Libre et Ludovic Bailly, ont décidé d’allier leurs connaissances du tourisme, du digital et de la Tech pour lancer PerfectStay. Créée en février 2016, PerfectStay est une startup au développement rapide proposant des ventes privées d’hôtels et de voyages haut de gamme. Elle a conçu une solution BtoBtoC pour permettre aux grandes marques de proposer à leurs clients des voyages exclusifs alliant qualité et prix attractifs. Forte de ses clients prestigieux (Air France, Vente Privée, Emirates, Corsair, La Redoute...) et de sa récente levée de fond de 15M€, PerfectStay souhaite intégrer des nouveaux partenaires et accélérer le déploiement de son activité à l’international. 
Perfectstay souhaite également renforcer ses effectifs pour atteindre 200 collaborateurs d’ici fin 2019. L’aventure de Perfectstay est en train de s’écrire et nous recherchons les futurs talents qui vont nous accompagner vers un succès international.
Perfectstay recherche des personnes passionnées, engagées, prêtes à vivre l’expérience start-up avec le sens de l’initiative, le goût du challenge et une envie de réussir individuellement comme collectivement dans un groupe où tout est possible !Les valeurs de Perfectstay : l'Esprit d'Equipele Funla Performance la Créativité Chez Perfectstay, tu seras des nôtres pour :De l’humour et du partage qui rythment nos journéesZéro micro-management donc maxi autonomieDes petits déjeuners, goûters et Afterwork dans la bonne humeur De la curiosité et une soif de connaissances qui nous poussent à nous surpasser et innover "
Nuxeo,Logiciels,"Paris, Fr, Irvine, Ca, Lisboa, Pt, London, Uk, Los Gatos, Ca, Madrid, Es, New York, Ny, Tysons, Us","
      
        
      
    www.nuxeo.com",2000,150,32 years old,"Nuxeo, entreprise dynamique et en forte croissance, est un éditeur d’une des plateformes de gestion de contenu les plus innovantes sur son marché. Elle accompagne les entreprises dans leur transformation digitale, en améliorant la façon de développer, gérer et déployer leurs applications.Avec une architecture modulaire, Nuxeo fournit une plateforme open source et apporte une réelle valeur ajoutée à des sociétés, telles que : Verizon, Boeing, Electronic Arts, Orange, l’AFP, ou encore le Département de la Défense américain. Nuxeo a réalisé en 2016 deux levées de fonds pour un total de 30 millions de dollars US.
D’origine française, Nuxeo compte aujourd'hui 150 personnes à Paris, NYC, Lisbonne, Londres, Tokyo et Irvine.Nuxeo recherche des personnes passionnées souhaitant relever des challenges techniques (mais pas que !) et ayant l’envie de contribuer à une belle aventure humaine et internationale. Pas de « valeurs » spécifiques à mettre en avant mais du bon sens et des soft skills sont indispensables comme l'esprit d'équipe, la flexibilité, le dynamisme et l'ouverture d’esprit.Chez Nuxeo, travailler dans une ambiance décontractée et positive est primordiale. Les classiques petit-déjeuners, déjeuners et apéros ensemble font partie du quotidien. De temps en temps, des sessions sportives s'organisent pour éliminer :) Des évènements sont organisés tout au long de l’année dans les différents pays. D’ailleurs un rendez-vous annuel important est le Kickoff : 4 jours dans le monde en début d’année (Lisbonne 2017, Reykjavik 2018, Rome 2019).L'intégration est aussi un moment très important. Ce process démarre dès le recrutement jusqu’aux 6 premiers mois.  "
Shift Technology,"FinTech / InsurTech, Intelligence artificielle / Machine Learning","Paris, Singapore, Tokyo, United Kingdom","
      
        
      
    www.shift-technology.com",2014,150,29 years old,"Did you know that about 10% of all insurance payouts are flowing directly into the pockets of fraudsters?From opportunistic exaggerated claim statements to full-blown con networks, scams of all shapes and sizes are costing the insurance industry several hundred billion dollars every year!What that means for you and me? More paperwork, longer processing, delayed payment, and ever-increasing premiums.
Cue Shift Technology to the rescue!Their SaaS solution combines tailored statistical algorithms with sectoral expertise in an innovative decision-making platform that is overhauling the way insurers process claims and, most importantly, detect fraud.Since opening our doors, we've raised $40MUSD, signed contracts with over 60 insurers across the world, been designated as one of the best SaaS firms in Europe, and been cited amongst the top 100 AI companies globally!
They may still be a start-up but the stakes are high. Their technology is not to be confused with the myriad ephemeral apps littering today's cyberspace. Their clients are the world's biggest insurers, trusting us with the core of their business. They expect professionalism and concrete results, and that is exactly what they provide.Headquartered in Paris, with satellite offices in Boston, Tokyo, Singapore, Hong Kong, London, Madrid, and Zurich, their team consists of 150 of the brightest data scientists, researchers, and developers in the business.At Shift, they look for candidates with a penchant for tackling the toughest of technical challenges and who don't shy away from big responsibilities or high impact projects. They hire humble people who can lead just as well as they can follow; and they value intellectually curious colleagues who are ready to learn, as well as to teach.The team will always do what it takes to get the job done. And yes, they do value your comfort and individuality, however there will be days where you will have to dust off your suit and tie.Caveats aside, if you are ready to join the best-in-class team that originally introduced SaaS to the world of insurance, and is pioneering the most sophisticated AI research in the industry, they would love to have you on board!Shift's forecast for 2019 is mostly sunny with a lot of growth so if you're down to fight fraud they hereby cordially invite you to join the force!  And no, that is not just another gratuitous StarWars reference, their office is literally decked out in Death Star paraphernalia!  Not a jedi junkie? No problem.  You can otherwise 'get ur geek on' during their weekly GameCube sessions and late night OpenArena battles. If you like moving around, they also regularly organize sports outings: running club, climbing nights, urban soccer.Do you like gif banter, free coffee, tea, beer, fruit, etc.?  So do they !  But more importantly than the fun perks, is that they have the pleasure of spending their days surrounded by exceptionally smart and highly motivated teammates.  "
SFEIR,Logiciels,"Paris, Bordeaux, Lille, Luxembourg, Nantes, Strasbourg","
      
        
      
    sfeir.com",1985,450,31 ans,"SFEIR est une communauté façonnée par et pour des développeurs talentueux. Nous créons des applications de pointe et relevons avec nos clients leurs défis techniques les plus ambitieux. Les Sfeiriens sont fiers d’être développeurs. Ils partagent une culture et des valeurs qui leurs sont chères : diversité, bienveillance, liberté, responsabilité, et excellence. 
SFEIR constitue une communauté de talents capables de comprendre et s’approprier les problématiques de tous les clients quelque soit leur secteur d’activité. SFEIR apporte sa contribution à l'épanouissement de chaque développeur le tout, dans un esprit de partage de la connaissance. SFEIR se montre très active dans la formation (gratuite), la rédaction d'articles spécialisés, l'organisation des meetups ou afterwork, et la participation à de nombreuses conférences. SFEIR rassemble aujourd'hui près de 450 développeurs à Paris, Luxembourg, Strasbourg, Lille, Nantes et Bordeaux.Chez Sfeir, ils cherchent des développeurs qui aiment et savent partager leurs connaissances, pour que le cycle soit complet et puisse se perpétuer. En externe, ils devront faire preuve de leadership pour que leurs clients réussissent à mettre en oeuvre les dernières techniques et technologies. Il faudra comprendre leurs enjeux, s'imposer sur des projets complexes. Les Sfeiriens jouent un rôle essentiel dans la construction de Sfeir. Tous concourent à la satisfaction des ambitions de chacun.Rejoindre SFEIR, c’est travailler, maîtriser, partager et apprendre de nouvelles technologies dans une ambiance conviviale et chaleureuse. Être Sfeirien, c’est vivre de sa passion! Organisation : En holacratie, un(e) Sfeirien(e) est libre de prendre en main ou de contribuer aux initiatives qui lui sont chères dans l’entreprise Missions : Un(e) Sfeirien(e) profite d’une communauté riche et reconnue dans de nombreux domaines d’expertise qui le tire vers le haut dans les technologies de son choixPlayOffs : lors du processus de recrutement, un candidat rencontre au moins 5 Sfeiriens différents pour se faire une véritable idée de la vie d’entreprise SFEIR Schools : Les Sfeiriens proposent des formations gratuites et conviviales pour transmettre leurs connaissances et passer un nouveau cap d’expertise. Plus de 20 évènements par mois : meetups, confs, soirées techniques internes, SFEIR School, afterworks ou soirée h0bb1es (poker, magie, console…) 
Pétanque, Babyfoot, Ping Pong pour les pauses ;-)"
Dayuse.com,Tourisme,"Paris, Hong Kong, New York","
      
        
      
    www.dayuse.com",2010,60,32 years old,"Dayuse.com, acteur majeur de la révolution de l’hôtellerie, démocratise l’hôtel en journée en transformant des établissements haut de gamme en lieux de convivialité et de proximité auprès d’une clientèle locale et nomade.En optimisant l'offre hôtelière traditionnelle, Dayuse.com séduit de plus en plus d'acteurs majeurs ou indépendants. Fort de sa présence dans 22 pays avec 4000 hôtels à travers le monde, Dayuse.com a réalisé une levée de fonds de 15M€ afin d'accélérer son déploiement à l'international et de nouveaux talents.L’équipe recherche des collaborateurs curieux et dynamiques, animés par l’envie de relever les défis d'une startup française innovante, qui bouscule les codes de son secteur en inventant un nouveau marché à la dimension internationale.Déjeuners, soirées, apéro ou barbecues, l'équipe aime partager des moments sur sa terrasse arborée et fleurie de 100m2 !"
Buzz Brothers,Marketing / Communication,Genève,"
      
        
      
    www.buzzbrothers.ch",2010,71,31 ans,"Buzz Brothers est une agence full digital services basée en Suisse. La culture de l'agence repose sur sa passion pour le design et la performance. Son objectif: proposer des solutions innovantes à ses clients pour repousser toujours d'avantage les frontières entre tech et création.Fondée en 2010, l'agence compte aujourd'hui une soixantaine de sisters and brothers venants de plus de dix pays différents et issus de tous les domaines d'expertises de la communication digitale. Un mix de talents bouillonnants qui lui permet d'accompagner aussi bien de grandes marques nationales que les sièges de grands groupes internationaux dans leur problématique digitale.Chez Buzz Brothers, ils recherchent des personnes :Ambitieuses : qui aiment l’entreprenariat, qui sachent sortir de leur zone de confort et rester à la pointe de la création et de l’innovation.Généreuses & solidaires : qui aiment partager leur savoir faire pour optimiser et harmoniser le travail de l’équipe.Dignes de confiance : on vous donne les clés, l’avenir de la famille Buzz Brothers est aussi entre vos mains.Pour organiser ton arrivée en Suisse, quelques règles de base :Pouvoir manger une fondue en plein mois d’aoûtÊtre un geek mais aimer les montres mécaniquesSavoir gérer septante et nonanteEt pour tes week-end, tu as le choix entre :Une après-midi kite surf et un BBQ au bord du lacUne journée de Free Ride et une raclette au coin du feuUne randonnée entre marmottes et un coup de fendant au refuge (avec l’accent suisse)"
KeyOpsTech,"Application mobile, Logistique","Lyon, Abidjan, Dakar","
      
        
      
    keyops.tech",2017,25,29 ans,"KeyOpsTech est la première compagnie #ParcelTech (techno autour de la logistique du colis) mais aussi #TechForGood (améliorer la vie des populations en leur apportant le service partout) et #AfricaTech (une Histoire pleinement tournée vers l’Afrique avec un axe techno adapté)La société a été créée en Juin 2017 et est soutenue financièrement par un grand Groupe Français. Le siège et les équipes techniques sont au centre de Lyon et les filiales opérationnelles sont en Côte d’Ivoire (Abidjan) et au Sénégal (Dakar).KeyOpsTech rend accessible et démocratise la livraison de colis en Afrique, y compris à l’intérieur des pays. Ça passe par un mode opératoire innovant et breveté qui sécurise les transactions : transfert de responsabilité mobile, suivi des colis (sans étiquettes), livraison avec code PIN, utilisation des smartphones locaux (BYOD), fonctionnement en mode déconnecté, etc…KeyOpsTech couvrira toute l’Afrique de l’Ouest d’ici fin 2019. Et elle ambitionne ensuite de s'implanter dans plus d'une 15 aine de pays d'Afrique Sub-Saharienne, du Sénégal au Kenya, en passant par le Nigeria et en descendant vers le Bostwana.Des collaborateurs CURIEUX car le contexte tech africain impose un fort travail de R&D et une remise en question permanente.Des collaborateurs AGILES pour contribuer au développement d’un nouveau produit innovant et disruptif dans un délai court.Des collaborateurs PASSIONNÉS pour entretenir l'émulation et le développement individuel de toute l'équipe, en bonne intelligence avec nos collègues basés en Afrique.Si :tu es amateur de bonne bouffe et de bons vinstu ne communiques qu'en GIFs sur Slacktu as une passion qui sort de l'ordinaire (amateur de bucheronnage, mineur de crypto-monnaies, ...)tu aimes le gratin d’igname et le poulet braisé, tu t’habilles en wax et tu maîtrises le coupé-décalé, alors tu as un gros plus !!"
Chefclub,"Application mobile, Grande consommation, Télévision / Production audiovisuelle",Paris,"
      
        
      
    www.chefclub.tv",2016,34,29 ans,"Chefclub conçoit, réalise et diffuse ses vidéos de recettes de cuisine sur les réseaux sociaux.Lancé en 2016, Chefclub a bâti en 2 ans un acteur de référence dans le monde entier.
Les vidéos Chefclub, créatives et distrayantes, ont été vues plus de 7 milliards de fois en 2017. En 2018, la marque évolue dans la commerce avec notamment l’auto-édition de 400 000 livres dans 5 pays. Le succès de la marque repose sur un positionnement unique en phase avec la place grandissante de la cuisine dans la vie de chacun. Chefclub recherche des talents dans divers secteurs : direction artistique vidéo, développement web, développement mobile, cuisine, diététique, contenu, marketing, business, animation…Pour rejoindre l’équipe, une expertise ou un intérêt pour la cuisine sont également nécessaires.Odorats sensibles qui ne supporteraient pas les odeurs gourmandes des cuisines : s’abstenir :)"
Eurécia,"Logiciels, Ressources humaines, SaaS / Cloud Services",Castanet-Tolosan,"
      
        
      
    www.eurecia.com",2006,55,34 ans,"Eurécia est l'éditeur français d'un logiciel 100% web made in Toulouse de gestion administrative du personnel et de gestion des talents, autrement appelé SIRH.(Hormis faire râler les parisiens avec le soleil et l’accent du sud) Eurécia a une mission : simplifier la gestion administrative de l’entreprise au quotidien (congés et absences, notes de frais, gestion du planning, des temps, etc.) et replacer le salarié au cœur de l’organisation en passant par la gestion des talents.Eurécia, c’est aussi une croissance de plus de 30% par an depuis sa création en 2006 et pas moins de 100 000 clients-utilisateurs du logiciel, répartis dans 1 100 entreprises à travers le monde. Des sociétés comme Allo Ciné, Jeuxvideos.com , My Little Paris, 20 Minutes ou encore Hermès leur font confiance.Et pour rendre tout cela possible c’est une équipe de 65 personnes portant des valeurs fortes d’esprit d’équipe, de sens du service, de confiance et de convivialité qui veille chaque jour à rendre meilleure la vie de chaque collaborateur.Chez Eurécia, c'est une grande famille ! Enthousiasme, esprit d'équipe, confiance, dynamisme, envie d'avancer ensemble, force de proposition, goût pour les moments conviviaux sont les savoirs être indispensables pour intégrer la Team Eurécia.
Ils cherchent avant tout des personnes curieuses et passionnées, qui partagent les valeurs de l’entreprise.
Les profils recherchés sont variés : développeurs, analyste test & qualité, consultants SIRH, et bien d’autres.Travailler chez Eurécia, c’est :participer à tout type de projeten mode collaboratifun management ouvertdonner son avisle droit à l’erreurde la flexibilité, avec notamment le télétravail et l’aménagement des horaires de travailMais aussi :travailler dans de supers locaux des apéros à la moindre occasiondes restos entre collègues, des barbecuesdes massages tous les 15 joursun springbreak annuel de folieet surtout un futur Campus !!Bref ! Le bonheur quoi !"
